Gene	Probe_ID	MCF7__biological_rep1	MCF7__biological_rep2	MCF7__biological_rep3	MCF7_silenced_Estrogen_receptor__biological_rep1	MCF7_silenced_Estrogen_receptor__biological_rep2	MCF7_silenced_Estrogen_receptor__biological_rep3
OIP5-AS1	225225_at,225332_at,231808_at	9.66877	9.60595	9.66231	9.66623333333333	9.30609666666667	9.32746333333333
OIT3	230478_at	4.1058	4.08086	4.32663	3.98159	4.12579	4.31885
OK/SW-CL.36	1555000_at	4.67212	4.64138	4.68502	4.57425	4.58967	4.72852
OK/SW-CL.58	1554971_at	4.80873	4.83659	4.87347	4.81557	5.09255	5.24106
OLA1	219293_s_at,224525_s_at	9.843985	9.76034	9.79411	10.210085	10.12837	10.117945
OLAH	219975_x_at,222945_x_at,233126_s_at	5.21051666666667	5.15249	5.15177	5.35546333333333	5.32126333333333	5.27402
OLFM1	205591_at,210924_at,213131_at	9.24834	9.29237	9.17349	5.29611333333333	5.38170666666667	5.32804666666667
OLFM2	223601_at	6.46474	6.68359	6.4025	5.91195	6.00357	5.87263
OLFM3	1554524_a_at,1554526_at	4.004415	4.184815	4.089225	3.922565	4.110115	4.053055
OLFM4	212768_s_at	4.04404	3.93992	4.16419	3.78855	3.80842	3.83414
OLFML1	217525_at	4.21128	4.25499	3.94719	4.03061	4.19339	4.23938
OLFML2A	213075_at	5.73835	5.55516	5.73807	5.65235	5.85715	5.78949
OLFML2B	213125_at	4.85143	4.81029	4.75356	5.14758	5.08621	5.23704
OLFML3	218162_at	5.89003	5.95299	5.79979	5.40463	5.43447	5.35287
OLIG1	228170_at	4.24319	4.38622	4.29706	4.55557	4.47855	4.53286
OLIG2	213824_at,213825_at	4.3129	4.17983	4.239925	3.967925	4.077195	4.33515
OLIG3	1556371_at	3.77335	3.98401	3.89704	4.10707	3.97059	3.7468
OLMALINC	232230_at	6.19579	6.18019	6.14056	4.52639	4.14962	4.35271
OLMALINC///PP7080	225457_s_at	10.0699	10.0721	10.1088	7.98834	7.87524	8.09127
OLR1	210004_at	4.79078	4.78483	4.81198	4.88634	4.80912	4.76036
